symbol	company	identifier	sedol	weight	sector	shares_held	local_currency
XYZ	BLOCK INC	852234103	BYNZGK1	5.885660833312456e-4	-	6392380	USD
EME	EMCOR GROUP INC	29084Q100	2474164	5.876730837779934e-4	-	520258	USD
KVUE	KENVUE INC	49177J102	BQ84ZQ6	5.871273618287837e-4	-	22259608	USD
HAL	HALLIBURTON CO	406216101	2405302	5.840415522614346e-4	-	9790633	USD
RMD	RESMED INC	761152107	2732903	5.807076872626264e-4	-	1690840	USD
GEHC	GE HEALTHCARE TECHNOLOGY	36266G107	BL6JPG8	5.781576774272286e-4	-	5308988	USD
A	AGILENT TECHNOLOGIES INC	00846U101	2520153	5.760541673684569e-4	-	3303369	USD
KMB	KIMBERLY CLARK CORP	494368103	2491839	5.695650372814911e-4	-	3858979	USD
HBAN	HUNTINGTON BANCSHARES INC	446150104	2445966	5.656457614644399e-4	-	23623775	USD
HPE	HEWLETT PACKARD ENTERPRISE	42824C109	BYVYWS0	5.591764758119909e-4	-	15350111	USD
MTB	M + T BANK CORP	55261F104	2340168	5.547710113492803e-4	-	1754094	USD
NRG	NRG ENERGY INC	629377508	2212922	5.517348128682228e-4	-	2467623	USD
DVN	DEVON ENERGY CORP	25179M103	2480677	5.517050462164478e-4	-	7166162	USD
HSY	HERSHEY CO/THE	427866108	2422806	5.459005491203086e-4	-	1716322	USD
ATO	ATMOS ENERGY CORP	049560105	2315359	5.421797176484246e-4	-	1918466	USD
AEE	AMEREN CORPORATION	023608102	2050832	5.390442969947837e-4	-	3205289	USD
DTE	DTE ENERGY COMPANY	233331107	2280220	5.377940976202307e-4	-	2403985	USD
